
Metadata,IonizationFreqs:-0.000025 0.000025 0.000005 541.433310 THz,CoolingFreq:607.427840,RepumpFreq:461.312180,WindowStart:160.000,WindowWidth:55.000
hLoopCount	AttemptCount	Freq553	IonTrapped	NeutralCounts	ydataAvg	ydataStD	BGydataAvg	BGydataStD
4	8	541.433320	False	20.000000	11.900000	3.047950	13.500000	4.842520
4	9	541.433325	False	11.000000	12.500000	4.318565	15.500000	3.471311
4	10	541.433330	False	8.000000	14.000000	3.405877	12.300000	4.960847
4	11	541.433335	False	14.000000	13.600000	3.555278	12.900000	4.060788
5	1	541.433285	False	8.000000	15.900000	4.158125	13.000000	2.529822
5	2	541.433290	False	18.000000	15.900000	5.028916	14.100000	4.182105
5	3	541.433295	False	12.000000	13.800000	2.959730	13.500000	3.442383
5	4	541.433300	False	18.000000	13.000000	3.464102	17.600000	6.575713
5	5	541.433305	True	20.000000	155.500000	15.001667	16.400000	3.039737
5	6	541.433310	False	24.000000	17.100000	3.207803	15.500000	2.765863
5	7	541.433315	False	19.000000	14.600000	3.720215	15.300000	3.874274
5	8	541.433320	False	17.000000	12.700000	4.405678	14.500000	3.383785
5	9	541.433325	False	15.000000	13.800000	2.481935	12.700000	3.001666
5	10	541.433330	False	18.000000	13.600000	2.800000	13.400000	5.083306
5	11	541.433335	False	17.000000	14.200000	3.280244	16.100000	3.238827
6	1	541.433285	False	15.000000	15.200000	3.340659	16.200000	3.789459
6	2	541.433290	False	15.000000	14.600000	2.870540	15.200000	4.377214
6	3	541.433295	True	21.000000	140.500000	11.842719	13.400000	4.127953
6	4	541.433300	False	21.000000	15.300000	4.561798	17.500000	3.500000
6	5	541.433305	False	17.000000	13.700000	1.846619	14.500000	2.539685
6	6	541.433310	False	24.000000	11.500000	3.170173	13.600000	3.773592
6	7	541.433315	False	18.000000	14.500000	5.766281	12.100000	2.467793
6	8	541.433320	False	20.000000	11.900000	3.360060	15.600000	3.826225
6	9	541.433325	False	17.000000	15.600000	4.476606	13.100000	3.330165
6	10	541.433330	False	11.000000	16.200000	3.682391	14.700000	3.769615
6	11	541.433335	True	25.000000	59.900000	38.849582	14.200000	3.059412
7	1	541.433285	False	24.000000	13.900000	5.185557	13.900000	3.505710
7	2	541.433290	False	16.000000	13.400000	3.352611	15.100000	4.011234
7	3	541.433295	False	24.000000	14.300000	4.648656	11.300000	2.368544
7	4	541.433300	False	34.000000	15.000000	3.065942	15.500000	1.910497
7	5	541.433305	False	17.000000	15.300000	4.075537	15.600000	4.779121
7	6	541.433310	False	25.000000	12.900000	2.773085	14.500000	3.442383
7	7	541.433315	False	17.000000	16.500000	4.477723	13.500000	4.104875
7	8	541.433320	False	27.000000	14.500000	3.106445	13.500000	3.324154
7	9	541.433325	False	19.000000	14.400000	4.715930	15.600000	3.583295
7	10	541.433330	False	21.000000	15.400000	3.104835	14.200000	2.181742
7	11	541.433335	False	12.000000	13.200000	3.458323	13.500000	3.201562
8	1	541.433285	False	19.000000	14.700000	2.282542	15.300000	4.627094
8	2	541.433290	False	21.000000	15.700000	3.001666	14.900000	4.867237
8	3	541.433295	True	23.000000	146.600000	9.101648	14.000000	3.714835
8	4	541.433300	False	22.000000	15.200000	3.515679	16.400000	3.231099
8	5	541.433305	False	27.000000	15.700000	3.900000	15.500000	3.500000
8	6	541.433310	False	20.000000	13.200000	3.487119	16.800000	4.534314
8	7	541.433315	False	33.000000	15.600000	3.382307	16.200000	4.214262
8	8	541.433320	False	24.000000	14.900000	3.505710	13.800000	3.124100
8	9	541.433325	False	20.000000	16.200000	3.155947	17.600000	2.374868
8	10	541.433330	False	16.000000	13.500000	3.106445	15.400000	3.498571
8	11	541.433335	False	24.000000	16.000000	2.898275	15.900000	4.134005
9	1	541.433285	False	20.000000	14.100000	3.112876	15.700000	4.754997
9	2	541.433290	False	19.000000	15.400000	2.416609	14.900000	3.144837
9	3	541.433295	False	18.000000	15.900000	4.085340	15.600000	3.746999
9	4	541.433300	False	22.000000	12.300000	2.722132	14.400000	2.870540
9	5	541.433305	False	26.000000	13.800000	4.853864	13.900000	3.112876
9	6	541.433310	False	24.000000	14.600000	3.469870	15.700000	2.830194
9	7	541.433315	False	2.000000	15.600000	3.555278	14.900000	3.534119
9	8	541.433320	False	23.000000	13.600000	3.136877	13.800000	4.118252
9	9	541.433325	False	25.000000	14.200000	5.134199	17.000000	3.376389
9	10	541.433330	False	18.000000	16.800000	3.059412	14.700000	3.195309
9	11	541.433335	False	25.000000	14.000000	4.123106	17.400000	3.382307
10	1	541.433285	False	19.000000	16.200000	3.841875	14.900000	2.808914
10	2	541.433290	False	21.000000	16.600000	5.122499	13.700000	4.196427
10	3	541.433295	False	14.000000	13.300000	2.722132	15.200000	5.268776
10	4	541.433300	False	36.000000	14.000000	3.000000	13.200000	3.841875
10	5	541.433305	False	23.000000	16.300000	1.900000	15.900000	4.300000
10	6	541.433310	True	26.000000	147.600000	15.278743	13.400000	5.462600
10	7	541.433315	False	18.000000	14.300000	2.491987	16.100000	3.562303
10	8	541.433320	False	13.000000	13.700000	3.551056	14.700000	3.407345
10	9	541.433325	False	33.000000	16.000000	2.529822	14.300000	2.685144
10	10	541.433330	False	10.000000	15.300000	3.925557	15.700000	3.976179
10	11	541.433335	False	16.000000	13.200000	4.600000	12.600000	3.104835
