Metadata,Ionization Freqs.:541.433040 -50 350 10:THz MHz,Window Start:170.000:us,Window Width:55.000:us,Calibration Window Start:145:us,Calibration Window Width:55:us,BG:0.52:,BG_std:0.64:
h,Time	ExpNum	IonizationFreq	NeutralCounts
1621972334.1192245	49	541.433040	134.0
1621972341.469985	50	541.433230	0.0
1621972348.5468528	51	541.433040	140.0
1621972355.6904194	52	541.433240	0.0
1621972363.0228598	53	541.433040	128.0
1621972370.3279989	54	541.433250	2.0
1621972377.4900393	55	541.433040	173.0
1621972384.7421036	56	541.433260	0.0
1621972391.989046	57	541.433040	146.0
1621972399.1718643	58	541.433270	0.0
1621972406.3671227	59	541.433040	177.0
1621972413.6851263	60	541.433280	1.0
1621972421.4902003	61	541.433040	181.0
1621972428.6587029	62	541.433290	4.0
1621972435.6765177	63	541.433040	181.0
1621972442.872476	64	541.433300	1.0
1621972450.0624125	65	541.433040	155.0
1621972457.2102046	66	541.433310	1.0
1621972464.3418512	67	541.433040	185.0
1621972471.6620543	68	541.433320	1.0
1621972479.6647213	69	541.433040	204.0
1621972487.2354443	70	541.433330	2.0
1621972494.4418833	71	541.433040	186.0
1621972501.7789881	72	541.433340	2.0
1621972508.9979062	73	541.433040	219.0
1621972516.345973	74	541.433350	0.0
1621972523.5753841	75	541.433040	148.0
1621972530.7857633	76	541.433360	1.0
1621972538.0738533	77	541.433040	210.0
1621972546.1953843	78	541.433370	0.0
1621972553.476292	79	541.433040	208.0
1621972560.9471133	80	541.433380	0.0
1621972568.2762268	81	541.433040	175.0
1621972576.0294435	1	541.432990	0.0
1621972583.0806153	2	541.433040	213.0
1621972593.0001385	3	541.433000	6.0
1621972600.9716835	4	541.433040	200.0
1621972608.2151992	5	541.433010	13.0
1621972615.2640758	6	541.433040	197.0
1621972622.564548	7	541.433020	25.0
1621972629.9507596	8	541.433040	208.0
1621972637.2596984	9	541.433030	24.0
1621972644.5786383	10	541.433040	194.0
1621972651.9430707	11	541.433040	20.0
1621972659.2035384	12	541.433040	230.0
1621972666.3928945	13	541.433050	21.0
1621972673.731696	14	541.433040	213.0
1621972681.0309863	15	541.433060	13.0
1621972688.307959	16	541.433040	206.0
1621972695.7138822	17	541.433070	4.0
1621972702.8846498	18	541.433040	258.0
1621972710.1616733	19	541.433080	7.0
1621972717.3850086	20	541.433040	234.0
1621972725.1017275	21	541.433090	2.0
1621972732.4493108	22	541.433040	238.0
1621972739.7147548	23	541.433100	4.0
1621972747.214418	24	541.433040	266.0
1621972754.4446852	25	541.433110	7.0
1621972761.7631106	26	541.433040	223.0
1621972769.0164042	27	541.433120	1.0
1621972777.0004025	28	541.433040	222.0
1621972785.4708912	29	541.433130	5.0
1621972792.8738608	30	541.433040	265.0
1621972800.2447133	31	541.433140	6.0
1621972807.6626432	32	541.433040	285.0
1621972814.9674883	33	541.433150	10.0
1621972822.367025	34	541.433040	240.0
1621972829.6833713	35	541.433160	11.0
1621972837.0355654	36	541.433040	268.0
1621972845.180902	37	541.433170	3.0
1621972852.4225886	38	541.433040	287.0
1621972859.5731716	39	541.433180	4.0
1621972866.7666438	40	541.433040	256.0
1621972873.7680104	41	541.433190	3.0
1621972880.7611048	42	541.433040	228.0
1621972887.912361	43	541.433200	2.0
1621972894.923587	44	541.433040	248.0
1621972901.8946626	45	541.433210	0.0
1621972908.8364751	46	541.433040	275.0
1621972915.8260837	47	541.433220	0.0
1621972922.8558033	48	541.433040	250.0
1621972929.7746909	49	541.433230	2.0
1621972936.5676148	50	541.433040	280.0
1621972943.4286523	51	541.433240	0.0
1621972949.903898	52	541.433040	252.0
1621972956.550869	53	541.433250	2.0
1621972963.3166413	54	541.433040	271.0
1621972969.9239368	55	541.433260	0.0
1621972976.4607027	56	541.433040	255.0
1621972983.118565	57	541.433270	1.0
1621972989.646304	58	541.433040	233.0
1621972996.1255887	59	541.433280	0.0
1621973002.5225043	60	541.433040	239.0
1621973009.0224047	61	541.433290	2.0
1621973015.4951572	62	541.433040	221.0
1621973021.9934976	63	541.433300	0.0
1621973029.0738063	64	541.433040	245.0
1621973035.4014442	65	541.433310	0.0
1621973041.6952353	66	541.433040	256.0
1621973048.1190102	67	541.433320	1.0
1621973054.6983035	68	541.433040	267.0
1621973061.6053524	69	541.433330	1.0
1621973068.645652	70	541.433040	240.0
1621973075.217786	71	541.433340	0.0
1621973081.6930614	72	541.433040	251.0
1621973088.9565709	73	541.433350	1.0
1621973095.5710135	74	541.433040	289.0
